S,Cs,L_span,L_fill,x_extent,W_peak
2.0,0.1,3.0,3.0,1,3.0
3.0,0.15000000000000002,4.0,4.0,2,5.0
4.0,0.2,5.0,5.0,3,7.0
5.0,0.25,6.166666666666667,5.0,5,9.0
6.0,0.30000000000000004,9.0,7.0,7,14.833333333333334
8.0,0.4,11.0,8.333333333333334,11,21.0
10.0,0.5,15.0,10.0,15,25.166666666666668
13.0,0.65,24.916666666666668,11.916666666666668,188,46.833333333333336
17.0,0.8500000000000001,59.333333333333336,31.5,188,88.66666666666667
20.0,1.0,58.0,38.333333333333336,188,85.66666666666667
25.0,1.25,57.5,41.25,199,81.33333333333333
30.0,1.5,58.833333333333336,48.5,199,76.83333333333333
40.0,2.0,61.25,52.583333333333336,199,79.66666666666667
50.0,2.5,58.66666666666667,51.33333333333333,199,97.33333333333333
70.0,3.5,54.0,51.0,199,111.5
100.0,5.0,52.0,46.166666666666664,199,119.33333333333333
150.0,7.5,55.5,47.833333333333336,199,126.5
200.0,10.0,56.666666666666664,50.833333333333336,199,125.0
300.0,15.0,56.666666666666664,50.833333333333336,199,125.0
400.0,20.0,56.666666666666664,50.833333333333336,199,125.0
600.0,30.0,56.666666666666664,50.833333333333336,199,125.0
1000.0,50.0,56.666666666666664,50.833333333333336,199,125.0
2000.0,100.0,56.666666666666664,50.833333333333336,199,125.0
